Station:CCNY -,,
Date,Time,CO
,,ppb
10/30/16,12:00 AM,0.26
10/31/16,12:00 AM,0.19
11/1/16,12:00 AM,0.33
11/2/16,12:00 AM,0.37
11/3/16,12:00 AM,0.32
11/4/16,12:00 AM,0.18
11/5/16,12:00 AM,
11/6/16,12:00 AM,
11/7/16,12:00 AM,
11/8/16,12:00 AM,
11/9/16,12:00 AM,0.31
11/10/16,12:00 AM,0.2
11/11/16,12:00 AM,0.17
11/12/16,12:00 AM,0.18
11/13/16,12:00 AM,0.25
11/14/16,12:00 AM,0.38
11/15/16,12:00 AM,0.33
11/16/16,12:00 AM,0.28
11/17/16,12:00 AM,0.21
11/18/16,12:00 AM,0.36
11/19/16,12:00 AM,0.36
11/20/16,12:00 AM,0.1
11/21/16,12:00 AM,0.11
11/22/16,12:00 AM,0.14
11/23/16,12:00 AM,0.2
11/24/16,12:00 AM,0.33
11/25/16,12:00 AM,0.52
11/26/16,12:00 AM,0.28
11/27/16,12:00 AM,0.18
11/28/16,12:00 AM,0.3
11/29/16,12:00 AM,0.25
11/30/16,12:00 AM,0.4
12/1/16,12:00 AM,0.17
12/2/16,12:00 AM,0.17
12/3/16,12:00 AM,0.16
12/4/16,12:00 AM,0.2
12/5/16,12:00 AM,0.27
12/6/16,12:00 AM,0.29
12/7/16,12:00 AM,0.33
12/8/16,12:00 AM,0.29
12/9/16,12:00 AM,0.17
12/10/16,12:00 AM,0.2
12/11/16,12:00 AM,0.25
12/12/16,12:00 AM,0.39
12/13/16,12:00 AM,0.26
12/14/16,12:00 AM,0.28
12/15/16,12:00 AM,0.18
12/16/16,12:00 AM,0.23
12/17/16,12:00 AM,0.4
12/18/16,12:00 AM,0.36
12/19/16,12:00 AM,0.18
12/20/16,12:00 AM,0.32
12/21/16,12:00 AM,0.38
12/22/16,12:00 AM,0.37
12/23/16,12:00 AM,0.24
12/24/16,12:00 AM,0.29
12/25/16,12:00 AM,0.24
12/26/16,12:00 AM,0.35
12/27/16,12:00 AM,0.21
12/28/16,12:00 AM,0.25
12/29/16,12:00 AM,0.35
12/30/16,12:00 AM,0.19
