Station:CCNY -,,,,
Date,Time,O3,PM25C,CO
,,ppm,ug/m3LC,ppb
7/25/17,12:00 AM,0.016,3.2,0.15
7/26/17,12:00 AM,0.027,3,0.15
7/27/17,12:00 AM,0.018,6.9,0.19
7/28/17,12:00 AM,0.03,10.6,0.26
7/29/17,12:00 AM,0.023,4.4,0.13
7/30/17,12:00 AM,0.029,4.8,0.12
7/31/17,12:00 AM,0.031,9.1,0.21
8/1/17,12:00 AM,0.04,14.1,0.23
8/2/17,12:00 AM,0.02,26,0.34
8/3/17,12:00 AM,0.025,9.3,0.29
8/4/17,12:00 AM,0.025,4.7,0.15
8/5/17,12:00 AM,0.028,3.9,0.13
8/6/17,12:00 AM,0.025,3.7,0.12
8/7/17,12:00 AM,0.016,6.4,0.23
8/8/17,12:00 AM,0.027,5.4,0.17
8/9/17,12:00 AM,0.039,9.4,0.19
8/10/17,12:00 AM,0.033,11.3,0.23
8/11/17,12:00 AM,0.037,4.3,0.15
8/12/17,12:00 AM,0.032,6,0.18
8/13/17,12:00 AM,0.033,6.2,0.17
8/14/17,12:00 AM,,8.3,0.25
8/15/17,12:00 AM,,11.5,0.28
8/16/17,12:00 AM,,8.7,0.21
8/17/17,12:00 AM,,8.4,0.17
8/18/17,12:00 AM,0.021,,0.2
8/19/17,12:00 AM,0.034,8.7,0.17
8/20/17,12:00 AM,0.028,8.6,0.17
8/21/17,12:00 AM,0.029,14.2,0.28
8/22/17,12:00 AM,0.03,13.9,0.21
8/23/17,12:00 AM,0.028,,0.17
8/24/17,12:00 AM,0.026,6.4,0.18
8/25/17,12:00 AM,0.021,4.6,0.16
8/26/17,12:00 AM,0.029,5.1,0.16
8/27/17,12:00 AM,0.032,8.1,0.18
8/28/17,12:00 AM,0.027,7,0.16
8/29/17,12:00 AM,0.015,3.9,0.16
8/30/17,12:00 AM,0.028,6.3,0.15
8/31/17,12:00 AM,0.027,11,0.18
9/1/17,12:00 AM,0.023,3.4,0.13
9/2/17,12:00 AM,0.025,3.8,0.14
9/3/17,12:00 AM,0.026,3,0.14
9/4/17,12:00 AM,0.035,11.1,0.18
9/5/17,12:00 AM,0.033,18.8,0.24
9/6/17,12:00 AM,0.023,12.8,0.25
9/7/17,12:00 AM,0.028,7.8,0.19
